folioID,conveyanceDate,conveyancePrice,conveyanceType,conveyanceTypeDescription,postalCode,area,jurisdiction,roll_number,MB_manual_class,blank1,blank2,MB_year_built,MB_effective_year,MB_total_finished_area,MB_num_storeys,num_full_baths,num_3-piece_baths,num_2-piece_baths,num_bedrooms,num_dens,blank3,type_of_foundation,num_multi_garage,num_single_garage,num_carport,lc_code_1, lc_code_2,lc_code_3,lc_code_4,lc_code_5,lc_code_6,pool_flag,other_building_flag,land_metric_flag,land_width,land_depth,land_sq_measure,land_area,blank4,inc_unit_of_measure_value,inc_unit_of_measure_code,blank5,inc_floor_num,inc_effective_year,plumbing_nil_flag,basement_finish_area,basement_total_area,deck_sq_footage,deck_sq_footage_covered,blank6,fireplace_num_1,blank7,fireplace_num_2,blank8,fireplace_num_3,blank9,fireplace_num_4,blank10,fireplace_num_5,first_floor_area,second_floor_area,third_floor_area,school_district,zoning
A0000D6RFT,2022-01-10,1000000,7,Improved Single Property Transaction,V0R 1X5,4,768,14530000,146,,,2007,2007,2550,1.5,3,,,2,,,Basement,0,1,0,96,,,,,,,, ,100,222,,,,,,,,,,844,1406,220,120,,1,,,,,,,,,1406,,,68,R3
D0001VA7QD,2022-01-28,1000000,7,Improved Single Property Transaction,V9P 9E4,4,769,10616657,147,,,2020,2020,2296,2,1,2,1,3,,,Partial Basement,1,0,0,,,,,,,,, ,,,,2.234,,,,,,,,,540,,106,,,,,,,,,,,1418,878,,69,
A0000KRRW4,2022-02-17,1000000,7,Improved Single Property Transaction,V9W 7H6,6,336,8205718,145,,,1994,1994,1532,1,2,1,,5,,,Basement,1,0,0,V5,,,,,,,, ,73.5,116,,0.196,,,,,,,,,2080,413,36,,3,,,,,,,,,1532,,,72,R1
A0000KSGQL,2022-02-24,1000000,7,Improved Single Property Transaction,V0R 1Z0,6,771,8811000,14,,,1990,1990,1319,1.5,,,,2,,,Crawl,0,0,0,87,,,,,,,, ,,,,0.46,,,,,,,,,,406,,,,,,,,,,,,935,,,71,R1
A000001DGC,2022-01-14,1000000,7,Improved Single Property Transaction,V5Z 3G9,9,200,1.11658E+13,D702,,,2000,2000,980,,2,,,2,,,,0,0,0,,,,,,,,, ,,,,,2401,980,STRLA,,1,2000,,,,,,,1,,,,,,,,,,,,39,
D0000SYFBY,2022-02-08,1000000,7,Improved Single Property Transaction,V6A 0C6,9,200,1.36342E+13,B705,,,2014,2014,860,,1,1,,2,,,,0,0,0,,,,,,,,, ,,,,,2402,860,STRLA,,2,2014,,,,53,,,,,,,,,,,,,,,39,
A000001P1W,2022-01-27,1000000,7,Improved Single Property Transaction,V5Y 1L3,9,200,1.36452E+13,D702,,,1997,1997,971,,1,,,1,,,,0,0,0,,,,,,,,, ,,,,,2401,971,STRLA,,2,1997,,,,117,,,,,,,,,,,,,,,39,
A00000238S,2022-02-24,1000000,7,Improved Single Property Transaction,V5N 4E7,9,200,1.52517E+13,D701,,,1990,1990,883,,1,,1,2,,,,0,0,0,,,,,,,,, ,,,,,2400,883,STRLA,,1,1990,,,,46,,,,,,,,,,,,,,,39,
D00013JA9P,2022-01-18,1000000,7,Improved Single Property Transaction,V5N 3M5,9,200,1.92307E+13,D701,,,2017,2017,1187,,1,1,,2,,,,0,0,0,,,,,,,,, ,,,,,2400,1187,STRLA,,1,2017,,,,93,,,,,,,,,,,,,,,39,
A000003SE5,2022-01-24,1000000,7,Improved Single Property Transaction,V6Z 2N2,9,200,2.71206E+13,B705,,,1991,1991,1244,,1,1,,2,,,,0,0,0,,,,,,,,, ,,,,,2402,1244,STRLA,,16,1991,,,,,,,,,,,,,,,,,,,39,
A000003UQ9,2022-02-14,1000000,7,Improved Single Property Transaction,V6G 2G9,9,200,2.76051E+13,D702,,,1981,1999,812,,1,,,2,,,,0,0,0,,,,,,,,, ,,,,,2401,812,STRLA,,2,1981,,,,,,,,,,,,,,,,,,,39,
D0000B0G0Q,2022-01-13,1000000,7,Improved Single Property Transaction,V6B 0E4,9,200,2.96041E+13,B705,,,2009,2009,790,,1,1,,2,,,,0,0,0,,,,,,,,, ,,,,,2402,790,STRLA,,23,2009,,,,70,,,1,,,,,,,,,,,,39,
A00003UMVS,2022-01-11,1000000,7,Improved Single Property Transaction,V3M 1M9,10,220,5518000,50,,,1952,1952,1821,1,1,,,3,,,Partial Basement,0,0,0,9,,,,,,,, ,33,132,4356,,,,,,,,,450,450,,,,1,,,,,,,,,1371,,,40,RS2
D0001JH33F,2022-01-27,1000000,7,Improved Single Property Transaction,V3M 0L7,10,220,12289639,D701,,,2019,2019,1349,,1,1,1,3,,,,0,0,0,,,,,,,,, ,,,,,2400,1245,STRLA,,1,2019,,104,104,104,,,,,,,,,,,,,,,40,
D0001L5GF6,2022-02-03,1000000,7,Improved Single Property Transaction,V5C 0K4,10,301,1.21245E+11,B705,,,2019,2019,908,,1,1,,2,1,,,0,0,0,,,,,,,,, ,,,,,2402,908,STRLA,,50,2019,,,,178,,,,,,,,,,,,,,,41,
A00003WPVD,2022-01-28,1000000,7,Improved Single Property Transaction,V5H 4N8,10,301,5.48559E+11,B705,,,1990,1990,1475,,1,1,,2,1,,,0,0,0,,,,,,,,, ,,,,,2402,1475,STRLA,,23,1990,,,,,,,,,,,,,,,,,,,41,
A00005VE6W,2022-01-21,1000000,7,Improved Single Property Transaction,V4C 6N6,11,306,D160012200,D701,,,1978,1978,1374,,1,,1,2,,,,0,0,0,,,,,,,,, ,,,,,2400,1374,STRLA,,1,1978,,,,,,,1,,,,,,,,,,,,37,
A00005VVUG,2022-02-10,1000000,7,Improved Single Property Transaction,V4K 2W8,11,306,D335284000,50,,,1930,1965,1706,1,1,,1,2,,,Basement,0,1,0,6,86,,,,,,, ,60,150.7,9042,,,,,,,,,853,853,189,102,,,,,,,,,,,853,,,37,RS1
D0001NY1VA,2022-02-24,1000000,7,Improved Single Property Transaction,V6V 1E4,11,320,R000665050,D701,,,2020,2020,1179,,1,1,1,3,,,,0,0,0,,,,,,,,, ,,,,,2400,1088,STRLA,,1,2020,,91,91,,,,,,,,,,,,,,,,38,
D0000K28D6,2022-01-19,1000000,7,Improved Single Property Transaction,V7C 0A7,11,320,R057903235,B705,,,2013,2013,1192,,1,,,2,1,,,0,0,0,,,,,,,,, ,,,,,2402,1192,STRLA,,2,2013,,,,202,,,,,,,,,,,,,,,38,
A00005WYT1,2022-01-27,1000000,7,Improved Single Property Transaction,V7E 4W6,11,320,R072902039,D701,,,1978,1978,1566,,2,,1,3,,,,0,0,0,,,,,,,,, ,,,,,2400,1566,STRLA,,1,1978,,,,43,,,1,,,,,,,,,,,,38,
A0000763UM,2022-01-20,1000000,7,Improved Single Property Transaction,V3R 3L9,14,326,2130030087,92,,,1955,1975,1160,2,1,1,,3,,,Crawl,0,0,0,,,,,,,,, ,64,132,8448,,,,,,,,,,,120,,,,,,,,,,,,730,430,,36,RF
D0001UYNZT,2022-01-06,1000000,7,Improved Single Property Transaction,V3T 0P4,14,326,2352991560,B705,,,2021,2021,1085,,,1,,2,,,,0,0,0,,,,,,,,, ,,,,,2402,1085,STRLA,,41,2021,,,,,,,,,,,,,,,,,,,36,
A000077BVM,2022-02-24,1000000,7,Improved Single Property Transaction,V3W 1K4,14,326,6162983365,D701,,,1992,1992,2106,,1,1,1,3,,,,0,0,0,,,,,,,,, ,,,,,2400,1439,STRLA,,1,1992,,667,667,115,,,1,,,,,,,,,,,,36,
D0001RR5T9,2022-01-28,1000000,7,Improved Single Property Transaction,V4N 1N3,14,326,8153986934,D701,,,2020,2020,1793,,1,2,1,3,1,,,0,0,0,,,,,,,,, ,,,,,2400,1499,STRLA,,1,2020,,294,294,58,,,,,,,,,,,,,,,36,
D0000103HP,2022-02-10,1000000,7,Improved Single Property Transaction,V2R 0A9,15,303,53846463,145,,,2006,2006,2338,1,3,,,4,,,Basement,1,0,0,87,15,,,,,,, ,,,5338,0.122,,,,,,,,1169,1169,,255,,2,,,,,,,,,1169,,,33,R3
A0000F4BJB,2022-01-13,1000000,7,Improved Single Property Transaction,V2P 1B9,15,303,86346094,90,,,1957,1957,1551,1,1,,,3,,,Partial Basement,2,0,1,,,,,,,,, ,80,110,8712,0.2,,,,,,,,240,240,,226,,,,,,,,,,,1311,,,33,R1A
A0000F4DXC,2022-01-10,1000000,7,Improved Single Property Transaction,V2P 1V8,15,303,92945345,140,,,1971,1980,2026,1,2,,1,3,,,Basement,0,1,0,,,,,,,,, ,75,112,9583,0.22,,,,,,,,986,986,,113,,1,,,,,,,,,1040,,,33,R1A
A0000F4E2Z,2022-02-14,1000000,7,Improved Single Property Transaction,V2P 2H9,15,303,93546637,90,,,1970,1978,1940,1,2,1,,3,,,Basement,0,1,0,,,,,,,,, ,65,100,6500,0.149,,,,,,,,970,970,33,,,,,,,,,,,,970,,,33,R1A
A0000F4FFT,2022-01-31,1000000,7,Improved Single Property Transaction,V2P 3J2,15,303,97646496,90,,,1949,1970,1098,1,1,,,3,,,Basement,0,1,0,,,,,,,,, ,66,133,8799,0.202,,,,,,,,116,982,,40,,,,,,,,,,,982,,,33,R1A
D000144468,2022-01-06,1000000,7,Improved Single Property Transaction,V2P 4G6,15,303,457809742,145,,,2018,2018,2072,1,2,1,,3,,,Basement,1,0,0,,,,,,,,, ,,,,0.121,,,,,,,,794,794,,240,,1,,,,,,,,,1278,,,33,R1A
A0000F53L5,2022-01-13,1000000,7,Improved Single Property Transaction,V1M 3W2,15,311,166912060,D701,,,1995,1995,1520,,1,1,,2,,,,0,0,0,,,,,,,,, ,,,,,2400,1520,STRLA,,1,1995,,,,,173,,2,,,,,,,,,1520,,,35,
D000118B1X,2022-02-28,1000000,7,Improved Single Property Transaction,V2Y 0V6,15,311,768132030,D701,,,2016,2016,1424,,1,1,1,3,,,,0,0,0,,,,,,,,, ,,,,,2400,1345,STRLA,,1,2016,,79,79,84,,,,,,,,,,,,,,,35,
A0000F5X4X,2022-01-31,1000000,7,Improved Single Property Transaction,V2X 1X5,15,312,2109700002,90,,,1957,1957,1592,1,1,,,3,,,Crawl,0,1,0,86,9,,,,,,, ,64,110,7000,,,,,,,,,,,,,,,,,,,,,,,1592,,,42,RS1
A0000F600L,2022-02-01,1000000,7,Improved Single Property Transaction,V2X 5Z9,15,312,3178600000,50,,,1938,1970,2883,1,1,1,,2,,,Partial Basement,0,0,0,87,,,,,,,, ,,,4000,,,,,,,,,967,967,182,,,,,,,,,,,,1916,,,42,C3
A0000F7T5D,2022-01-13,1000000,7,Improved Single Property Transaction,V2S 5L3,15,313,6144079300,140,,,1977,1977,1748,1,1,1,,4,,,Basement,0,1,0,,,,,,,,, ,,,7765,0.178,,,,,,,,714,714,256,,,2,,,,,,,,,1034,,,34,RS2
A0000F6VVC,2022-02-23,1000000,7,Improved Single Property Transaction,V2S 2A3,15,313,6171026310,D701,,,1983,1983,2762,,1,,1,3,,,Basement,0,0,0,,,,,,,,, ,,,,,2400,2762,STRLA,,1,1983,,,2159,75,,,1,,,,,,,,,2159,,,34,
A0000F7V75,2022-03-03,1000000,7,Improved Single Property Transaction,V2S 4E3,15,313,6222003606,140,,,1965,1965,3294,1,4,1,,7,,,Basement,0,1,0,,,,,,,,, ,75,122,9150,,,,,,,,,1500,1500,,200,,2,,,,,,,,,1794,,,34,RS2
A0000F71S9,2022-01-27,1000000,7,Improved Single Property Transaction,V2S 7H5,15,313,7183042510,140,,,1984,1984,1764,1,1,1,1,4,,,Basement,0,1,0,,,,,,,,, ,,,8050,,,,,,,,,720,720,,,,,,,,,,,,,1044,,,34,RS3
A0000F7256,2022-02-28,1000000,7,Improved Single Property Transaction,V2S 7R1,15,313,7186017204,90,,,1978,1990,1592,1,2,,,3,,,Partial Basement,0,1,0,87,,,,,,,, ,40,100,4000,,,,,,,,,572,572,,,,,,,,,,,,,1020,,,34,RS3
A0000F74A7,2022-01-17,1000000,7,Improved Single Property Transaction,V2T 4X9,15,313,7192039630,140,,,1986,1986,1904,1,1,1,1,3,,,Basement,0,1,0,,,,,,,,, ,,,6129,,,,,,,,,780,780,96,,,,,,,,,,,,1124,,,34,RS3
A0000F88FE,2022-02-23,1000000,7,Improved Single Property Transaction,V2V 4J1,15,775,2197110,142,,,1966,1974,1679,2,1,,1,3,,,Crawl,0,1,0,,,,,,,,, ,70,108,8272,,,,,,,,,,,98,93,,1,,,,,,,,,1054,625,,75,R1
A000094RJ0,2022-02-01,1000000,7,Improved Single Property Transaction,V2A 2B2,17,222,85000,80,,,1935,1935,843,1,1,,,2,,,Crawl,0,1,0,9,23,,,,,,, ,,,,0.28,,,,,,,,,,120,60,,1,,,,,,,,,843,,,67,RD1
A000094VU1,2022-01-06,1000000,7,Improved Single Property Transaction,V2A 2N8,17,222,2849000,2140,,,1968,2005,2153,1,2,1,,5,,,Basement,0,0,0,,,,,,,,X, ,60.1,109.9,,0.16,,,,,,,,1020,1133,,186,,,,,,,,,,,1133,,,67,RM2
A000094VU1,2022-01-06,1000000,7,Improved Single Property Transaction,V2A 2N8,17,222,2849000,2140,,,1968,2005,2153,1,2,1,,5,,,Basement,0,0,0,,,,,,,,X, ,60.1,109.9,,0.16,,,,,,,,1020,1133,,186,,,,,,,,,,,1133,,,67,RM2
A000094VU1,2022-01-06,1000000,7,Improved Single Property Transaction,V2A 2N8,17,222,2849000,2140,,,1968,2005,2153,1,2,1,,5,,,Basement,0,0,0,,,,,,,,X, ,60.1,109.9,,0.16,,,,,,,,1020,1133,,186,,,,,,,,,,,1133,,,67,RM2
A000094VU1,2022-01-06,1000000,7,Improved Single Property Transaction,V2A 2N8,17,222,2849000,2140,,,1968,2005,2153,1,2,1,,5,,,Basement,0,0,0,,,,,,,,X, ,60.1,109.9,,0.16,,,,,,,,1020,1133,,186,,,,,,,,,,,1133,,,67,RM2
A000094VU1,2022-01-06,1000000,7,Improved Single Property Transaction,V2A 2N8,17,222,2849000,2140,,,1968,2005,2153,1,2,1,,5,,,Basement,0,0,0,,,,,,,,X, ,60.1,109.9,,0.16,,,,,,,,1020,1133,,186,,,,,,,,,,,1133,,,67,RM2
A0000A93TK,2022-01-04,1000000,7,Improved Single Property Transaction,V1X 1J4,19,217,4803708,82,,,1947,1985,724,2,1,,,1,,,Crawl,0,0,0,,,,,,,,X, ,,,,0.45,,,,,,,,,,,,,,,,,,,,,,592,132,,23,RU6
A0000A98DM,2022-02-28,1000000,7,Improved Single Property Transaction,V1X 4E5,19,217,6370011,140,,,1963,1985,2194,1,1,1,,4,,,Basement,0,1,1,,,,,,,,, ,,,,0.27,,,,,,,,1050,1144,,,,1,,,,,,,,,1144,,,23,RU1
A0000A9C0P,2022-01-05,1000000,7,Improved Single Property Transaction,V1X 6W1,19,217,6774046,140,,,1984,1995,2650,1,2,,,3,,,Basement,1,0,0,,,,,,,,, ,,,,0.221,,,,,,,,1257,1358,154,,,,,,,,,,,,1393,,,23,RU1
D00002FTGZ,2022-02-10,1000000,7,Improved Single Property Transaction,V1W 4N8,19,217,12050932,142,,,1981,1995,2971,2,1,1,1,5,,,Partial Basement,1,0,0,,,,,,,,, ,,,,0.274,,,,,,,,730,808,584,,,1,,,,,,,,,1332,909,,23,RU1
A0000A9YC2,2022-01-28,1000000,7,Improved Single Property Transaction,V1X 7W1,19,723,3733005,145,,,1999,2000,1868,1,2,1,,3,,,Basement,1,0,0,38,,,,,,,, ,,,,0.3,,,,,,,,300,1204,284,336,,,,,,,,,,,1568,,,23,A1
A0000BKQHT,2022-02-03,1000000,7,Improved Single Property Transaction,V1B 3M9,20,722,191118,146,,,1995,1995,2336,1.5,2,1,,5,,,Basement,0,0,0,23,,,,,,,, ,,,,2.47,,,,,,,,832,1040,320,96,,,,,,,,,,,1104,,,22,SH
A0000NWBUT,2022-01-13,1000000,7,Improved Single Property Transaction,V2C 2S8,23,212,200634000,80,,,1948,1948,1391,1,1,,,2,,,Basement,0,0,0,,,,,,,,, ,50,188.3,10040.938,,,,,,,,,660,731,,133,,,,,,,,,,,731,,,73,RM3
A0000NWT7G,2022-03-01,1000000,7,Improved Single Property Transaction,V2C 4C3,23,212,3002213010,2140,,,1976,1986,1691,1,2,,,3,,,Basement,0,0,0,7,86,,,,,,X, ,50,802,,0.92,,,,,,,,801,890,49,,,,,,,,,,,,890,,,73,RS1
A0000NWT7G,2022-03-01,1000000,7,Improved Single Property Transaction,V2C 4C3,23,212,3002213010,2140,,,1976,1986,1691,1,2,,,3,,,Basement,0,0,0,7,86,,,,,,X, ,50,802,,0.92,,,,,,,,801,890,49,,,,,,,,,,,,890,,,73,RS1
D00010KYSE,2022-02-28,10000000,7,Improved Single Property Transaction,V6K 1B1,9,200,2.63006E+12,188,,,2018,2018,3117,3,1,3,1,3,,,Crawl,1,0,0,96,39,,,,,X,, ,53.3,120,6396,,,,,,,,,,,524,70,,1,,,,,,,,,1290,1292,535,39,RT8
D00010KYSE,2022-02-28,10000000,7,Improved Single Property Transaction,V6K 1B1,9,200,2.63006E+12,188,,,2018,2018,3117,3,1,3,1,3,,,Crawl,1,0,0,96,39,,,,,X,, ,53.3,120,6396,,,,,,,,,,,524,70,,1,,,,,,,,,1290,1292,535,39,RT8
A000076KN8,2022-01-10,10000000,7,Improved Single Property Transaction,V3Z 9M9,14,326,5134170022,90,,,1968,1968,2884,1,1,1,,4,,,Basement,0,1,0,87,,,,,,,, ,,,,3.213,,,,,,,,1442,1442,374,,,2,,,,,,,,,1442,,,36,RA
D00013RSW9,2022-02-24,1000001,7,Improved Single Property Transaction,V8P 2N7,1,308,623039103,D701,,,2017,2017,1572,,1,,2,3,,,,0,0,0,,,,,,,,, ,,,,,2400,1572,STRLA,,1,2017,,,,,,,,,,,,,,,,,,,61,
D000151NUC,2022-01-27,1000010,7,Improved Single Property Transaction,V4N 6S3,14,326,122098050X,D701,,,2017,2017,2024,,2,1,1,4,,,,0,0,0,,,,,,,,, ,,,,,2400,1701,STRLA,,1,2017,,323,323,122,,,,,,,,,,,,,,,36,
A00003VJQJ,2022-02-15,1001000,7,Improved Single Property Transaction,V3H 4B9,10,225,16285003,D701,,,1979,1979,1292,,1,,1,3,,,,0,0,0,,,,,,,,, ,,,,,2400,1292,STRLA,,1,1979,,,,57,,,1,,,,,,,,,,,,43,
D0001DQ5MM,2022-02-28,1001000,7,Improved Single Property Transaction,V4P 0G1,14,326,5224986400,D701,,,2018,2018,1332,,1,1,,3,1,,,0,0,0,,,,,,,,, ,,,,,2400,1235,STRLA,,1,2018,,97,97,,,,,,,,,,,,,,,,36,
A0000D5UV3,2022-01-10,1001500,7,Improved Single Property Transaction,V9P 2Y3,4,559,700507,D701,,,2001,2001,1755,,1,1,,3,,,,0,0,0,,,,,,,,, ,,,,,2400,1755,STRLA,,1,2001,,,,,,,,,,,,,,,,,,,69,
A000029T55,2022-02-03,1002500,7,Improved Single Property Transaction,V8E 1A5,8,390,501148057,D702,,,1994,1994,547,,1,,,1,,,,0,0,0,,,,,,,,, ,,,,,2401,547,STRLA,,3,1994,,,,48,,,1,,,,,,,,,,,,48,
A0000HN3HF,2022-01-24,1003000,7,Improved Single Property Transaction,V9B 5J4,1,213,6049140,150,,,1982,1990,1713,1,2,,,3,,,Slab,1,0,0,22,48,,,,,,, ,75,135,10151,0.233,,,,,,,,,,360,100,,2,,,,,,,,,1713,,,62,R1
D0001L6QU5,2022-02-22,1003000,7,Improved Single Property Transaction,V3A 0M1,15,216,125607000,D701,,,2019,2019,1801,,1,2,1,4,,,,0,0,0,,,,,,,,, ,,,,,2400,1471,STRLA,,1,2019,,330,330,98,,,,,,,,,,,,,,,35,
D0001KVPNP,2022-01-24,1004385,7,Improved Single Property Transaction,V4R 0G9,15,312,7395303370,147,,,2021,2021,2517,2,1,1,1,4,,,Basement,1,0,0,,,,,,,,, ,,,5162,,,,,,,,,228,907,,137,,1,,,,,,,,,1145,1144,,42,R1
D0000A8JP9,2022-01-04,1005000,7,Improved Single Property Transaction,V3E 0C2,10,305,35375219,D701,,,2009,2009,1477,,1,1,1,3,,,,0,0,0,,,,,,,,, ,,,,,2400,1344,STRLA,,1,2009,,133,133,102,,,1,,,,,,,,,,,,43,
D0000CU0SX,2022-01-19,1005000,7,Improved Single Property Transaction,V3Z 3K3,14,326,5230998167,D701,,,2009,2009,1867,,2,1,1,3,1,,,0,0,0,,,,,,,,, ,,,,,2400,1581,STRLA,,1,2009,,286,286,285,,,1,,,,,,,,,,,,36,
D0000QZ7ZL,2022-02-10,1005000,7,Improved Single Property Transaction,V3X 1E8,14,326,609398235X,D701,,,2012,2012,1841,,1,1,1,3,1,,,0,0,0,,,,,,,,, ,,,,,2400,1517,STRLA,,1,2012,,324,324,189,,,,,,,,,,,,,,,36,
D00004D98Q,2022-02-28,1005000,7,Improved Single Property Transaction,V4N 5T3,14,326,6252988145,D701,,,2007,2007,1621,,2,,1,3,1,,,0,0,0,,,,,,,,, ,,,,,2400,1300,STRLA,,1,2007,,321,321,383,,,1,,,,,,,,,,,,36,
A0000F4Q9Q,2022-02-18,1005000,7,Improved Single Property Transaction,V2P 5N4,15,303,464209108,140,,,1981,1981,1662,1,1,1,,2,,,Crawl,0,1,0,,,,,,,,, ,60,100,6011,0.138,,,,,,,,,,,68,,2,,,,,,,,,1662,,,33,R1A
D0000HRABQ,2022-01-27,1005000,7,Improved Single Property Transaction,V4Z 0C1,15,303,510908561,147,,,2014,2014,2364,2,2,,1,3,,,Crawl,1,0,0,22,,,,,,,, ,,,8494,0.195,,,,,,,,,,152,,,1,,,,,,,,,1447,917,,33,
A0000F5Y77,2022-01-14,1005000,7,Improved Single Property Transaction,V2X 2P1,15,312,2126302027,90,,,1959,1965,965,1,1,,,3,,,Crawl,0,1,1,,,,,,,X,, ,60,125,7484,,,,,,,,,,,,,,,,,,,,,,,965,,,42,RS1
A0000F7DLQ,2022-02-15,1005000,7,Improved Single Property Transaction,V2V 3G1,15,314,791207000,140,,,1971,1985,2309,1,2,,,4,,,Basement,0,0,0,,,,,,,,, ,,,6900,,,,,,,,,1125,1125,96,160,,1,,,,,,,,,1184,,,75,RS1A
A0000A8XKL,2022-02-23,1005000,7,Improved Single Property Transaction,V1V 1T2,19,217,3339117,157,,,1992,1992,2266,2,2,,1,3,,,Crawl,1,0,0,6,8,22,7,,,,, ,,,,0.127,,,,,,,,,,,142,,1,,,,,,,,,1174,1092,,23,RU2
D0001UYFUB,2022-01-07,1006900,7,Improved Single Property Transaction,V3T 0P4,14,326,2352987398,B705,,,2021,2021,1564,,,1,1,3,1,,,0,0,0,,,,,,,,, ,,,,,2400,1564,STRLA,,2,2021,,,,39,,,,,,,,,,,,,,,36,
D0001UVDED,2022-01-31,1007900,7,Improved Single Property Transaction,V5H 0J8,10,301,5.93567E+11,B705,,,2021,2021,825,,1,1,,2,,,,0,0,0,,,,,,,,, ,,,,,2402,825,STRLA,,16,2021,,,,243,,,,,,,,,,,,,,,41,
A0000HQ75P,2022-02-16,1008000,8,Vacant Single Property Transaction,V8S 2R1,1,317,7240001,,,,,,,,,,,,,,,0,0,0,6,,,,,,,, ,50,110,5481,0.126,,,,,,,,,,,,,,,,,,,,,,,,,61,
D000131LDB,2022-01-26,1009000,7,Improved Single Property Transaction,V5H 0G5,10,301,5.89565E+11,B705,,,2017,2017,998,,1,1,,3,,,,0,0,0,,,,,,,,, ,,,,,2402,998,STRLA,,15,2017,,,,114,,,,,,,,,,,,,,,41,
D0001T3ZF4,2022-02-17,1009429,7,Improved Single Property Transaction,V5B 0B5,10,301,1.42453E+11,B705,,,2021,2021,1005,,1,,,2,1,,,0,0,0,,,,,,,,, ,,,,,2402,1005,STRLA,,25,2021,,,,369,,,,,,,,,,,,,,,41,
