,PID,LEGAL_TYPE,FOLIO,LAND_COORDINATE,ZONE_NAME,ZONE_CATEGORY,BLOCK,PLAN,DISTRICT_LOT,LOT,FROM_CIVIC_NUMBER,TO_CIVIC_NUMBER,STREET_NAME,PROPERTY_POSTAL_CODE,NARRATIVE_LEGAL_LINE3,NARRATIVE_LEGAL_LINE2,NARRATIVE_LEGAL_LINE1,NARRATIVE_LEGAL_LINE4,NARRATIVE_LEGAL_LINE5,CURRENT_LAND_VALUE,CURRENT_IMPROVEMENT_VALUE,TAX_ASSESSMENT_YEAR,PREVIOUS_IMPROVEMENT_VALUE,PREVIOUS_LAND_VALUE,YEAR_BUILT,BIG_IMPROVEMENT_YEAR,TAX_LEVY,NEIGHBOURHOOD_CODE,REPORT_YEAR
84181,006-049-257,LAND,752056980000,75205698,RS-5,One Family Dwelling,4,VAP2493,321,27,,5825.0,MACKENZIE ST,V6N 4G9,,RICT LOT 321  NEW WESTMINSTER,LOT 27  BLOCK 4  PLAN VAP2493  DIST,,,1997000.0,305000.0,2021.0,317000.0,1985000.0,1987.0,1995.0,,5,2021
148951,012-804-321,LAND,282741650000,28274165,RT-11,Two Family Dwelling,,VAP3526,50,3,,5531.0,DUNDEE ST,V5R 3T8,,0  NEW WESTMINSTER BLOCK NW PT 7.,LOT 3  PLAN VAP3526  DISTRICT LOT 5,,,1211000.0,20300.0,2021.0,19900.0,1034000.0,1953.0,1953.0,,23,2021
85425,015-220-362,LAND,643124070000,64312407,C-3A,Commercial,270,VAP590,526,24,,2150.0,FIR ST,V6J 3B5,,TRICT LOT 526  NEW WESTMINSTER,LOT 24  BLOCK 270  PLAN VAP590  DIS,,,6120000.0,11200.0,2021.0,11000.0,6120000.0,1961.0,1970.0,,7,2021
50965,023-615-486,STRATA,634122980055,63412298,CD-1 (339),Comprehensive Development,,LMS2622,526,55,225,1628.0,1ST AVE W,V6J 1G1,1 SHARE IN COM PROP THEREIN.,526  NEW WESTMINSTER UNDIV 326/4703,LOT 55  PLAN LMS2622  DISTRICT LOT,,,226000.0,46000.0,2021.0,46200.0,226000.0,1996.0,1996.0,,7,2021
208864,013-441-434,STRATA,126617060023,12661706,BCPED,Comprehensive Development,,VAS2383,F C,23,403,1500.0,HOWE ST,V6Z 2N1,SHARE IN COM PROP THEREIN.,F C  NEW WESTMINSTER UNDIV 25/14098,LOT 23  PLAN VAS2383  DISTRICT LOT,,,1.0,1.0,2021.0,1.0,1.0,1989.0,1989.0,,30,2021
22654,030-671-361,STRATA,689194130017,68919413,RM-4N,Multiple Family Dwelling,,EPS5466,301,17,215,311.0,16TH AVE E,V5T 2T7,AN INTEREST IN THE COMMON PROPERTY,301  NWD  BCAGROUP 1 TOGETHER WITH,LOT 17  PLAN EPS5466  DISTRICT LOT,IN PROPORTION TO THE UNIT ENTITLEME,NT OF THE STRATA LOT AS SHOWN ON FO,983000.0,220000.0,2021.0,217000.0,1053000.0,,,,13,2021
162258,005-012-279,LAND,755281590000,75528159,RS-1,One Family Dwelling,1,VAP3541,50,13,,2873.0,44TH AVE E,V5R 3A7,,RICT LOT 50  NWD OF BLK 9.,LOT 13  BLOCK 1  PLAN VAP3541  DIST,,,1261000.0,167000.0,2021.0,171000.0,1155000.0,1986.0,1986.0,,24,2021
153803,026-713-446,STRATA,134606920179,13460692,DD,Comprehensive Development,,BCS1903,541,179,PH8,1082.0,SEYMOUR ST,V6B 1X9,,541  NEW WESTMINSTER GROUP 1.,LOT 179  PLAN BCS1903  DISTRICT LOT,,,446000.0,121000.0,2021.0,120000.0,426000.0,2006.0,2006.0,,29,2021
132791,008-751-544,LAND,790122310000,79012231,RS-3,One Family Dwelling,8,VAP13053,526,B,,1687.0,49TH AVE W,V6M 2S2,OF BLK 3.,"RICT LOT 526  NWD GROUP 1, OF LOT 4",LOT B  BLOCK 8  PLAN VAP13053  DIST,,,2658000.0,212000.0,2021.0,221000.0,2567000.0,1920.0,1969.0,,10,2021
121657,014-129-663,LAND,259693310000,25969331,RS-1,One Family Dwelling,17&18,VAP2002,195,11,,3531.0,MARSHALL ST,V5N 4S2,,DISTRICT LOT 195  NEW WESTMINSTER,LOT 11  BLOCK 17&18  PLAN VAP2002,,,1212000.0,23500.0,2021.0,23000.0,1035000.0,1946.0,1946.0,,14,2021
61894,009-463-062,LAND,161792760000,16179276,RS-1,One Family Dwelling,893,VAP9773,526,16,,6788.0,NEAL ST,V6P 3N5,,STRICT LOT 526  NEW WESTMINSTER,LOT 16  BLOCK 893  PLAN VAP9773  DI,,,2776000.0,1174000.0,2021.0,1101000.0,2533000.0,2010.0,2010.0,,11,2021
207462,030-262-127,STRATA,153840510016,15384051,I-2,Light Industrial,,EPS4483,319,16,1,8855.0,LAUREL ST,V6P 3V9,INTEREST IN THE COMMON PROPERTY IN,"319  NWD GROUP 1, TOGETHER WITH AN",LOT 16  PLAN EPS4483  DISTRICT LOT,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,186000.0,58000.0,2021.0,56900.0,187000.0,2017.0,2017.0,,18,2021
51505,028-921-089,STRATA,640170030155,64017003,C-3A,Commercial,,EPS984,302,155,1210,445.0,2ND AVE W,V5Y 1E3,"R LAND DISTRICT, TOGETHER WITH AN I","CT LOT 302, GROUP 1, NEW WESTMINSTE","STRATA LOT 155, PLAN EPS984, DISTRI",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,768000.0,417000.0,2021.0,408000.0,789000.0,2012.0,2013.0,,13,2021
66738,004-954-149,STRATA,640149040017,64014904,FM-1,Multiple Family Dwelling,,VAS1159,526,17,,2240.0,SPRUCE ST,V6H 2P3,34 SHARE IN COM PROP THEREIN.,526  NEW WESTMINSTER UNDIV 1335/857,LOT 17  PLAN VAS1159  DISTRICT LOT,,,919000.0,108000.0,2021.0,110000.0,863000.0,1982.0,1982.0,,7,2021
166208,028-758-650,STRATA,646190910186,64619091,IC-3,Light Industrial,,BCS4330,200A,186,511,250.0,6TH AVE E,V5T 0B7,N INTEREST IN THE COMMON PROPERTY I,"200A  NWD GROUP 1, TOGETHER WITH A",LOT 186  PLAN BCS4330  DISTRICT LOT,N PROPORTION TO THE UNIT ENTITLEMEN,T OF THE STRATA LOT AS SHOWN ON FOR,403000.0,180000.0,2021.0,176000.0,413000.0,2012.0,2012.0,,13,2021
115703,003-522-482,STRATA,640090370003,64009037,C-2B,Commercial,,VAS1635,526,3,PH,2065.0,4TH AVE W,V6J 1N3,ARE IN COM PROP THEREIN.,26  NEW WESTMINSTER UNDIV 59/376 SH,LOT 3  PLAN VAS1635  DISTRICT LOT 5,,,456000.0,83900.0,2021.0,85800.0,435000.0,1986.0,1986.0,,2,2021
42248,016-813-928,STRATA,643120960008,64312096,C-3A,Commercial,,VAS2808,526,8,8,1707.0,7TH AVE W,V6J 5E9,22 SHARE IN COM PROP THEREIN.,26  NEW WESTMINSTER UNDIV 1295/1440,LOT 8  PLAN VAS2808  DISTRICT LOT 5,,,547000.0,420000.0,2021.0,419000.0,513000.0,1991.0,1991.0,,7,2021
104163,013-273-361,LAND,710153570000,71015357,RS-5,One Family Dwelling,657,VAP2976,526,20,,845.0,KING EDWARD AVE W,V5Z 2C9,,STRICT LOT 526  NEW WESTMINSTER,LOT 20  BLOCK 657  PLAN VAP2976  DI,,,2075000.0,34800.0,2021.0,37900.0,2100000.0,1944.0,1957.0,,9,2021
190660,030-762-855,STRATA,654191930007,65419193,CD-1 (591),,119,EPS5422,301,7,307,285.0,10TH AVE E,V5T 0H6,THER WITH AN INTEREST IN THE COMMON,TRICT LOT 301  NWD  BCAGROUP 1 TOGE,LOT 7  BLOCK 119  PLAN EPS5422  DIS,PROPERTY IN PROPORTION TO THE UNIT,ENTITLEMENT OF THE STRATA LOT AS S,436000.0,218000.0,2021.0,214000.0,433000.0,,,,13,2021
199387,026-877-571,STRATA,156604070004,15660407,DD,Comprehensive Development,,BCS2103,541,4,,338.0,SMITHE ST,V6B 1S3,,41  NEW WESTMINSTER GROUP 1.,LOT 4  PLAN BCS2103  DISTRICT LOT 5,,,688000.0,376000.0,2021.0,368000.0,762000.0,2006.0,2006.0,,29,2021
115098,002-726-572,STRATA,686130900004,68613090,RM-3,Multiple Family Dwelling,,VAS352,526,4,201,1412.0,14TH AVE W,V6H 1R3,SHARE IN COM PROP THEREIN.,6  NEW WESTMINSTER UNDIV 454/10000,LOT 4  PLAN VAS352  DISTRICT LOT 52,,,434000.0,41400.0,2021.0,43900.0,413000.0,1976.0,1976.0,,7,2021
185213,013-574-302,LAND,282602150000,28260215,RS-1,One Family Dwelling,2,VAP2628,THSL,41,,1009.0,NOOTKA ST,V5K 4E6,"SW 1/4, EXC W 10 FT NOW LANE.",AP2628  DISTRICT LOT THSL  NWD PART,LOT 41  BLOCK 2  SECTION 24  PLAN V,,,1214000.0,179000.0,2021.0,181000.0,1094000.0,1968.0,1990.0,,20,2021
170736,030-340-560,STRATA,665222420001,66522242,RT-5,Two Family Dwelling,159,EPS4468,246A,1,,1182.0,11TH AVE E,V5T 2G3,ER WITH AN INTEREST IN THE COMMON P,"TRICT LOT 246A  NWD GROUP 1, TOGETH",LOT 1  BLOCK 159  PLAN EPS4468  DIS,ROPERTY IN PROPORTION TO THE UNIT E,NTITLEMENT OF THE STRATA LOT AS SHO,1109000.0,403000.0,2021.0,400000.0,1059000.0,2017.0,2017.0,,13,2021
46517,014-243-181,LAND,296598810000,29659881,RS-1,One Family Dwelling,A,VAP1876,THSL,33,,843.0,WINDERMERE ST,V5K 4J5,"NW 1/4, GROUP 1, AMENDED (SEE 7273",AP1876  DISTRICT LOT THSL  NWD PART,LOT 33  BLOCK A  SECTION 25  PLAN V,0L).,,1330000.0,82200.0,2021.0,88200.0,1192000.0,1973.0,1973.0,,20,2021
7245,002-537-290,STRATA,120602970043,12060297,DD,Comprehensive Development,,VAS1544,185,43,455,855.0,BURRARD ST,V6Z 2K7,IN THE COMMON PROPERTY IN PROPORTIO,185  NWD TOGETHER WITH AN INTEREST,LOT 43  PLAN VAS1544  DISTRICT LOT,N TO THE UNIT ENTITLEMENT OF THE ST,"RATA LOT AS SHOWN ON FORM 1 OR V, A",263000.0,163000.0,2021.0,162000.0,405000.0,1985.0,1985.0,,27,2021
191846,019-047-568,STRATA,586267960035,58626796,RM-3A,Multiple Family Dwelling,,LMS1672,184,35,406,2388.0,TRIUMPH ST,V5L 1L5,FOR SHARE IN COM PROP THEREIN.,184  NEW WESTMINSTER UNDIV 54/2194,LOT 35  PLAN LMS1672  DISTRICT LOT,,,379000.0,107000.0,2021.0,106000.0,379000.0,1993.0,1993.0,,14,2021
5129,029-775-604,STRATA,210813050001,21081305,RT-2,Two Family Dwelling,,EPS3420,326A,1,,678.0,59TH AVE E,V5X 1Y3,IN THE COMMON PROPERTY IN PROPORTIO,26A  NWD TOGETHER WITH AN INTEREST,LOT 1  PLAN EPS3420  DISTRICT LOT 3,N TO THE UNIT ENTITLEMENT OF THE ST,RATA LOT AS SHOWN ON FORM V.,891000.0,316000.0,2021.0,368000.0,805000.0,2015.0,2016.0,,17,2021
17324,009-411-887,LAND,821197070000,82119707,RS-1,One Family Dwelling,8,VAP10322,326A,A,,403.0,63RD AVE E,V5X 2K1,12.,"RICT LOT 326A  NWD GROUP 1, TO BLK",LOT A  BLOCK 8  PLAN VAP10322  DIST,,,1397000.0,135000.0,2021.0,81100.0,1205000.0,1960.0,1975.0,,17,2021
73488,010-718-451,LAND,708068130000,70806813,RS-1,One Family Dwelling,W,VAP7164,139,F,,2855.0,ALAMEIN AVE,V6L 1S4,,STRICT LOT 139  NWD GROUP 1.,LOT F  BLOCK W  PLAN VAPVAP7164  DI,,,2294000.0,144000.0,2021.0,146000.0,2096000.0,1980.0,1985.0,,4,2021
75393,010-649-573,LAND,270724570000,27072457,RT-11N,Two Family Dwelling,N,17729,393,C,,4653.0,NANAIMO ST,V5N 5J5,,T LOT 393  NEW WESTMINSTER,LOT C  BLOCK N  PLAN 17729  DISTRIC,,,1238000.0,99100.0,2021.0,106000.0,1120000.0,1979.0,1980.0,,23,2021
173889,006-364-926,STRATA,124614070160,12461407,DD,Comprehensive Development,,VAS1184,541,160,812,1333.0,HORNBY ST,V6Z 2C1,"ISTRICT, TOGETHER WITH AN INTEREST","ICT LOT 541, NEW WESTMINSTER LAND D","STRATA LOT 160, PLAN VAS1184, DISTR",IN THE COMMON PROPERTY IN PROPORTIO,N TO THE UNIT ENTITLEMENT OF THE ST,410000.0,84800.0,2021.0,87400.0,412000.0,1982.0,1982.0,,29,2021
70025,011-281-120,LAND,694225250000,69422525,RT-10,Two Family Dwelling,62,VAP187,301,14,,1223.0,19TH AVE E,V5V 1L2,,RICT LOT 301  NWD GROUP 1.,LOT 14  BLOCK 62  PLAN VAP187  DIST,,,1776000.0,78400.0,2021.0,68900.0,1507000.0,1927.0,1965.0,,15,2021
136827,014-509-083,LAND,747195310000,74719531,RS-1,One Family Dwelling,A,VAP1634,640,4,,331.0,40TH AVE E,V5W 1M1,"1, OF LOT 1, OF BLK 2.","ICT LOT 640  NWD PART E 1/2, GROUP",LOT 4  BLOCK A  PLAN VAP1634  DISTR,,,1581000.0,55300.0,2021.0,56700.0,1344000.0,1958.0,1970.0,,16,2021
29399,008-838-623,LAND,250707040000,25070704,RS-1,One Family Dwelling,M,VAP6751,393,1,,4440.0,VICTORIA DR,V5N 4N6,,ICT LOT 393  NWD AMD.,LOT 1  BLOCK M  PLAN VAP6751  DISTR,,,1371000.0,274000.0,2021.0,268000.0,1241000.0,1947.0,1947.0,,23,2021
26167,004-219-139,LAND,687225320000,68722532,RT-5,Two Family Dwelling,107,VAP187,301,4,,1232.0,15TH AVE E,V5T 2S8,,RICT LOT 301  NWD GROUP 1.,LOT 4  BLOCK 107  PLAN VAP187  DIST,,,,,,,,2017.0,2017.0,,13,2021
45615,017-963-435,STRATA,186654610011,18665461,RM-4,Multiple Family Dwelling,,LMS589,302,11,202,2621.0,QUEBEC ST,V5T 3A6,HARE IN COM PROP THEREIN.,02  NEW WESTMINSTER UNDIV 81/1232 S,LOT 11  PLAN LMS589  DISTRICT LOT 3,,,599000.0,176000.0,2021.0,179000.0,499000.0,1992.0,1992.0,,13,2021
87309,028-069-731,STRATA,580186800064,58018680,HA-2,Historic Area,,BCS3636,196,64,709,168.0,POWELL ST,V6A 0B2,IN THE COMMON PROPERTY IN PROPORTIO,196  NWD TOGETHER WITH AN INTEREST,LOT 64  PLAN BCS3636  DISTRICT LOT,N TO THE UNIT ENTITLEMENT OF THE ST,RATA LOT AS SHOWN ON FORM V.,451000.0,134000.0,2021.0,132000.0,428000.0,2009.0,2009.0,,26,2021
